job_id,company,title,role_category,ats_source,location,is_dfw,is_remote,age_days,match_score,matching_skills,apply_url,discovered_at
c4bc17e278f05364,Copart,AI Engineer Intern,AI/ML & GenAI,workday,"Dallas, TX",True,False,1,0.96,ai; generative ai; java; large language models; machine learning; python; rag,https://copart.wd1.myworkdayjobs.com/Copart_Careers/job/Dallas-TX/AI-Engineer-Intern_JR110948,2026-09-09T00:26:47.879901
d472ec44bd978552,Copart,Software Engineering Intern - Frontend / Fullstack,Software Engineering (Fullstack/Backend),workday,"Dallas, TX",True,False,1,0.88,frontend; full-stack; git; javascript; rest; typescript,https://copart.wd1.myworkdayjobs.com/Copart_Careers/job/Dallas-TX/Software-Engineering-Intern_JR111173,2026-09-09T00:26:47.880313
a4210587085fe647,Copart,Data Engineering Intern,Data Engineering,workday,"Dallas, TX",True,False,2,0.88,analytics; data analytics; data engineering; database; python; sql,https://copart.wd1.myworkdayjobs.com/Copart_Careers/job/Dallas-TX/Data-Engineering-Intern_JR110617,2026-09-09T00:26:47.880640
26b582b0545a5253,AT&T,Technology Development Program (TDP) - Data Science Engineer Intern,Data Analyst & Analytics,other,"Dallas, TX",True,False,2,0.88,ai; analytics; data analytics; machine learning; python; sql,https://www.att.jobs/job/dallas/technology-development-program-intern-data/117/tdp-data-2027,2026-09-09T00:26:47.884289
87bc9e43a52f09c0,JPMorgan Chase,Data & AI Program - Summer Analyst Intern,AI/ML & GenAI,other,"Plano, TX",True,False,2,0.88,ai; artificial intelligence; data modeling; machine learning; python; sql,https://www.jpmorganchase.com/careers/programs/data-analytics-program?loc=plano-tx,2026-09-09T00:26:47.886074
c37db1021801ed4c,Texas Instruments,Pricing & Commercial Data Analytics Intern,Data Analyst & Analytics,other,"Dallas, TX",True,False,4,0.88,analytics; business intelligence; data analytics; python; sql; sql queries,https://careers.ti.com/job/dallas/pricing-intern-data-analytics/123/pricing-analyst,2026-09-09T00:26:47.882120
08a3f3d160de3949,AT&T,Technology Development Program (TDP) - Software Engineer Intern,Software Engineering (Fullstack/Backend),other,"Dallas, TX",True,False,2,0.8,full-stack; java; microservices; python; react,https://www.att.jobs/job/dallas/technology-development-program-intern-software/117/tdp-swe-2027,2026-09-09T00:26:47.883916
c9de82aca9b42b39,JPMorgan Chase,Software Engineer Program (SEP) - Summer Internship,Software Engineering (Fullstack/Backend),other,"Plano, TX",True,False,2,0.8,full-stack; java; microservices; python; react,https://www.jpmorganchase.com/careers/programs/software-engineer-program?loc=plano-tx,2026-09-09T00:26:47.885715
77bede900900bd52,Riveron,Business Performance Improvement - Data & Analytics Intern,Data Analyst & Analytics,ashby,"Dallas, TX",True,False,3,0.8,analytics; business intelligence; data analytics; python; sql,https://jobs.ashbyhq.com/riveron/98777859-1566-4e10-bcdf-dc555db8705e,2026-09-09T00:26:47.884976
b8fb02e9539fe8bc,Copart,Technology Product Analyst Intern,Software Engineering (Fullstack/Backend),workday,"Dallas, TX",True,False,2,0.72,analytics; data analytics; sql; sql queries,https://copart.wd1.myworkdayjobs.com/Copart_Careers/job/Dallas-TX/Technology-Product-Analyst-Intern_JR110789,2026-09-09T00:26:47.881005
